Date,Item Code,Wholesale Price (RMB/kg)
7/1/2020,102900005115762,3.88
7/1/2020,102900005115779,6.72
7/1/2020,102900005115786,3.19
7/1/2020,102900005115793,9.24
7/1/2020,102900005115823,7.03
7/1/2020,102900005115908,4.6
7/1/2020,102900005115946,4.2
7/1/2020,102900005115960,2.1
7/1/2020,102900005115984,3.44
7/1/2020,102900005116226,4.64
7/1/2020,102900005116233,5.76
7/1/2020,102900005116257,6.56
7/1/2020,102900005116509,1.63
7/1/2020,102900005116530,10.8
7/1/2020,102900005116547,4.06
7/1/2020,102900005116714,9.23
7/1/2020,102900005116790,3.97
7/1/2020,102900005116912,8.16
7/1/2020,102900005116943,7.83
7/1/2020,102900005117056,4.32
7/1/2020,102900005117209,7.58
7/1/2020,102900005118817,8.47
7/1/2020,102900005118824,5.65
7/1/2020,102900005118831,4.13
7/1/2020,102900005119944,10.29
7/1/2020,102900005119975,3.6
7/1/2020,102900005123880,7.5
7/1/2020,102900005125808,12.1
7/1/2020,102900005125815,6.16
7/1/2020,102900011001219,8.24
7/1/2020,102900011006948,11.69
7/1/2020,102900011008522,4.44
7/1/2020,102900011009970,6.03
7/1/2020,102900051000944,29.43
7/1/2020,102900051004294,6.81
7/1/2020,102900051010455,4.63
7/2/2020,102900005115762,3.93
7/2/2020,102900005115779,4.23
7/2/2020,102900005115786,3.18
7/2/2020,102900005115793,9.19
7/2/2020,102900005115823,7.03
7/2/2020,102900005115908,4.52
7/2/2020,102900005115946,4.23
7/2/2020,102900005115960,2.1
7/2/2020,102900005115984,3.58
7/2/2020,102900005116226,4.57
7/2/2020,102900005116233,5.71
7/2/2020,102900005116257,3.72
7/2/2020,102900005116509,1.46
7/2/2020,102900005116530,10.8
7/2/2020,102900005116547,4.05
7/2/2020,102900005116714,8.9
7/2/2020,102900005116790,3.97
7/2/2020,102900005116912,8.05
7/2/2020,102900005116943,7.27
7/2/2020,102900005117056,4.48
7/2/2020,102900005117209,7.33
7/2/2020,102900005118817,7.88
7/2/2020,102900005118824,5.76
7/2/2020,102900005118831,4.11
7/2/2020,102900005119944,10.13
7/2/2020,102900005119975,3.6
7/2/2020,102900005123880,6.46
7/2/2020,102900005125808,12.13
7/2/2020,102900005125815,6.15
7/2/2020,102900011000328,7.1
7/2/2020,102900011001219,8.24
7/2/2020,102900011006689,6.83
7/2/2020,102900011006948,11.75
7/2/2020,102900011008522,4.44
7/2/2020,102900011009970,5.52
7/2/2020,102900051000944,29.54
7/2/2020,102900051004294,6.85
7/2/2020,102900051010455,4.76
7/3/2020,102900005115762,3.57
7/3/2020,102900005115779,4.61
7/3/2020,102900005115786,3.79
7/3/2020,102900005115793,9.2
7/3/2020,102900005115823,6.76
7/3/2020,102900005115908,3.89
7/3/2020,102900005115946,4.3
7/3/2020,102900005115960,2.11
7/3/2020,102900005115984,3.75
7/3/2020,102900005116226,4.42
7/3/2020,102900005116233,5.7
7/3/2020,102900005116257,6.56
7/3/2020,102900005116509,1.48
7/3/2020,102900005116530,10.8
7/3/2020,102900005116547,4.05
7/3/2020,102900005116714,8.97
7/3/2020,102900005116790,3.98
7/3/2020,102900005116912,7.9
7/3/2020,102900005116943,6.75
7/3/2020,102900005117056,5.31
7/3/2020,102900005117209,6.21
7/3/2020,102900005118824,5.61
7/3/2020,102900005118831,4.05
7/3/2020,102900005119944,10.05
7/3/2020,102900005119975,3.6
7/3/2020,102900005123880,6.23
7/3/2020,102900005125808,12.2
7/3/2020,102900005125815,6.32
7/3/2020,102900011000328,6.58
7/3/2020,102900011001219,7
7/3/2020,102900011006689,6.88
7/3/2020,102900011006948,11.75
7/3/2020,102900011008522,4.47
7/3/2020,102900011009970,4.81
7/3/2020,102900051004294,8.07
7/3/2020,102900051010455,4.74
7/4/2020,102900005115779,5.77
7/4/2020,102900005115786,3.46
7/4/2020,102900005115793,9.16
7/4/2020,102900005115823,6.56
7/4/2020,102900005115908,3.53
7/4/2020,102900005115946,4.28
7/4/2020,102900005115960,2.21
7/4/2020,102900005115984,3.75
7/4/2020,102900005116226,4.41
7/4/2020,102900005116233,5.42
7/4/2020,102900005116257,3.94
7/4/2020,102900005116509,1.98
7/4/2020,102900005116530,12
7/4/2020,102900005116547,4.05
7/4/2020,102900005116714,9.27
7/4/2020,102900005116790,4.01
7/4/2020,102900005116912,7.79
7/4/2020,102900005116943,5.9
7/4/2020,102900005117056,5.16
7/4/2020,102900005117209,7.43
7/4/2020,102900005118824,5.41
7/4/2020,102900005118831,4.09
7/4/2020,102900005119944,10.08
7/4/2020,102900005123880,7.23
7/4/2020,102900005125808,12.08
7/4/2020,102900005125815,6
7/4/2020,102900011000328,6
7/4/2020,102900011001219,7.37
7/4/2020,102900011006689,7.21
7/4/2020,102900011008522,4.44
7/4/2020,102900011009970,4.71
7/4/2020,102900051000944,25.48
7/4/2020,102900051004294,6.09
7/4/2020,102900051010455,4.63
7/5/2020,102900005115762,3.48
7/5/2020,102900005115779,5.77
7/5/2020,102900005115786,3.45
7/5/2020,102900005115793,10
7/5/2020,102900005115823,6.56
